::Date=2023_08_21::Hour=05_00_03 PM:::
::Type=MasterDefect::WebEdge=35.52::X=1292.12::Y=6.30::Width=59.49::Height=59.49::Size=28.17::Image=TOP__PDF_Spot23.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=836.07::Y=65.40::Width=59.49::Height=59.49::Size=29.75::Image=TOP__PDF_Spot22.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=864.83::Y=65.40::Width=59.49::Height=59.49::Size=34.67::Image=TOP__PDF_Spot21.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=214.14::Y=124.90::Width=59.49::Height=59.49::Size=34.87::Image=TOP__PDF_Spot20.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=243.10::Y=124.90::Width=59.49::Height=59.49::Size=4.93::Image=TOP__PDF_Spot30.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=MasterDefect::WebEdge=35.52::X=1207.02::Y=6.30::Width=59.49::Height=59.49::Size=5.91::Image=TOP__PDF_Spot29.bmp::Meters=1013.434::Lap=20::ProcheckCode=0::EasyTrackReel=0::Reliable=false::Speed=235::Hour=06_12_12 PM::DetectionSystem=_PDF::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=568.74::Y=284.63::Width=32.70::Height=32.70::Size=8.31::Image=Spot8.bmp::Meters=1349.009::Lap=2751::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=235::Hour=06_13_03 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=500.58::Y=454.64::Width=32.70::Height=32.70::Size=55.46::Image=Color0.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=235::Hour=06_14_19 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=649.71::Y=454.64::Width=32.70::Height=32.70::Size=44.09::Image=Color1.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=235::Hour=06_14_19 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=861.48::Y=432.19::Width=32.70::Height=32.70::Size=32.56::Image=Color2.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=235::Hour=06_14_19 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=414.49::Y=451.10::Width=32.70::Height=32.70::Size=26.43::Image=Color3.bmp::Meters=1644.660::Lap=3354::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=235::Hour=06_14_19 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
